DanOrder	alanOrder	lineID	page	page_on_photo	col_on_single_page	x1col	y1col	x2col	y2col	newLineNuAlan	GTLineNumberDaniel	top_on_page	bottom_on_page	left_on_page	right_on_page	AT	GT2	enriched_y_n	color_img_file_name	include	regionID	regionx1	regiony1	regionx2	regiony2	enriched_y_n	color_img_file_name
2	1	1402	14	1	1	1	1	1024	1441	1	2	119	204	119	897	וידבר  אל משה במדבר סיני וגו' הדא היא דכתיב הדור אתם	וידבר ײ אל משה במדבר סיני וגו' הדא היא דכתיב הדור אתם	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
3	2	1403	14	1	1	1	1	1024	1441	2	3	165	228	233	636	ראו דבר ײ המדבר הייתי לישרﭏ אם ארץ מחפ'	ראו דבר ײ המדבר הייתי לישרﭏ אם ארץ [מאפ']	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
4	3	1404	14	1	1	1	1	1024	1441	3	4	202	271	243	883	מאפל יה אמ' הק'ב'ה' לישרﭏ על שאמרתם למשה למה העליתנו ממצרים	מאפליה אמ' הק'ב'ה' לישרﭏ על שאמרתם למשה למה העליתנו ממצרים	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
5	4	1405	14	1	1	1	1	1024	1441	4	5	232	314	230	898	להביא אותנו אל המקום הרע הזה וגו' וכי במדבר הייתי לישרﭏ וכי במדבר	להביא אותנו אל המקום הרע הזה וגו' וכי במדבר הייתי לישרﭏ וכי במדבר	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
6	5	1406	14	1	1	1	1	1024	1441	5	6	269	353	234	890	עשיתי עמכם בנוהג שבעולם מלך בשר ודם שיצא למדבר שמא הוא מוצא	עשיתי עמכם בנוהג שבעולם מלך בשר ודם שיצא למדבר שמא הוא מוצא	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
7	6	1407	14	1	1	1	1	1024	1441	6	7	308	389	262	892	שם שלוה כשם שהיה בפלטין שלו או אכילה ושתייה ואתם הייתם עבדים	שם שלוה כשם שהיה בפלטין שלו או אכילה ושתייה ואתם הייתם עבדים 	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
8	7	1408	14	1	1	1	1	1024	1441	7	8	343	425	228	885	והוצאתי אתכם משם והרבצתי אתכם בגימסטין שנ' ויסב ﭏהים את העם	והוצאתי אתכם משם והרבצתי אתכם בגימסטין שנ' ויסב ﭏהים את העם	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
9	8	1409	14	1	1	1	1	1024	1441	8	9	379	460	226	884	דרך המדבר ים סוף ˙ מהו ויסב שהרביצן כדרך המלכים רבוצים על מטותיהן	דרך המדבר ים סוף ˙ מהו ויסב שהרביצן כדרך המלכים רבוצים על מטותיהן	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
10	9	1410	14	1	1	1	1	1024	1441	9	10	414	496	232	882	ולא העמדתי לכם שלשה פדגוגין משה ואהרן ומרים שבזכות משה הייתם	ולא העמדתי לכם שלשה פדגוגין משה ואהרן ומרים שבזכות משה הייתם	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
11	10	1411	14	1	1	1	1	1024	1441	10	11	456	525	230	883	אוכלין את המן מה שלא ראו אבות הקדושים שנא' ויאכילך את המן אשר לא	אוכלין את המן מה שלא ראו אבות הקדושים שנא' ויאכילך את המן אשר לא	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
12	11	1412	14	1	1	1	1	1024	1441	11	12	494	562	227	863	ידעו אבותיך ˙ ובזכות אהרן הקפתי אתכם בענני כבוד שנ' פרס ענן למסך	ידעו אבותיך ˙ ובזכות אהרן הקפתי אתכם בענני כבוד שנ' פרס ענן למסך	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
13	12	1413	14	1	1	1	1	1024	1441	12	13	529	598	218	882	ואש להאיר לילה ˙ וכמה ענני כבוד היו מקיפין את ישרﭏ במדבר ˙ רהושעא	ואש להאיר לילה ˙ וכמה ענני כבוד היו מקיפין את ישרﭏ במדבר ˙ ר' הושעיא	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
14	13	1414	14	1	1	1	1	1024	1441	13	14	566	634	218	862	ור' יאשיה אמ' חמשה ארבעה לארבע רוחות ואחד שהיה מהלך שלשה ימים	ור' יאשיה אמ' חמשה ארבעה לארבע רוחות ואחד שהיה מהלך שלשה ימים	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
15	14	1415	14	1	1	1	1	1024	1441	14	15	601	671	229	875	ראוק שהיה מכה לפניהם את הנחשים והעקרבים ואם היה נמוך מקום נמוך	רחוק שהיה מכה לפניהם את הנחשים והעקרבים ואם היה [נמוך] מקום נמוך	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
16	15	1416	14	1	1	1	1	1024	1441	15	16	639	709	219	875	היה מגביהו ואם היה מקום גוה היה משפילו ועושה אותם מישור שנ' כל גיא	היה מגביהו ואם היה מקום גבוה היה משפילו ועושה אותם מישור שנ' כל גיא	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
17	16	1417	14	1	1	1	1	1024	1441	16	17	675	743	221	869	ינשא וכל הר וגבעה ישפלו וגו' ˙ והבאר בזכות מרים שאמרה שירה על האם	ינשא וכל הר וגבעה ישפלו וגו'˙ והבאר בזכות מרים שאמרה שירה על המים	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
18	17	1418	14	1	1	1	1	1024	1441	17	18	709	779	199	887	שנא' ותען להם שירו לײ וגו' ˙ ובמי באר אז ישיר ישרﭏ את השירה הזאת וגו' 	שנא' ותען להם שירו לײ וגו' ˙ ובמי באר אז ישיר ישראל את השירה הזאת וגו' ˙	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	1	1	1	1	1024	1441	0	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png
