page	line	left	top	right	bottom	AT	iiif_url
7	1	231	281	1400	352	מכבדי אכבד ובוזי יקלו ה הוני˙ ותני א יות יי אלהי	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	2	231	336	1400	407	רא˙את לרבות בני תויה לפי שאין לך מדה כיוצא בה שנ' ירלף	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	3	231	397	1400	468	לינינים˙ פירוש מכהן גדול משמש לפני ולפננם והתוירה צוחתה	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	4	231	451	1400	522	שרי אדם שומעלי לשקוד על לתוי ˙יום יום˙ ווהל הטוע	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	5	231	506	1400	577	לדברי תורה אינו ניזוק שנמר וש˙ מע לי ˙ישכן רטח י שאנן מפרוד	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	6	231	561	1400	632	רעה˙ ואומ' בהתלכך תנחה אותך יי שאבא מחי ין בית ישרא	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	7	231	626	1400	697	למנח נביומא דשבתא וכדבריה הב'ה' לעלמא ונח ביומא שבתא וברס	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	8	231	679	1400	750	וקדשיה כמאן רבא ביתיה וגמר ליה לענבי דתיה ועבד' ימא טבא	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	9	231	737	1400	808	בי אמרי אינשי' בלול ביתי דכתי' ויכל אלהים˙ אמר רחמנא נוחו בשבת	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	10	231	798	1400	869	ל כיהיכ דנח ביה איהו˙ כתי' וי נח ביום השביעי ואסור בתעניוב	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	11	231	855	1400	926	ר ו ומחייבן לעא גי ביה ומיכל ומשתי וליקורי בבסות ולבוש נקיה שנ'	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	12	231	911	1400	982	אם תבליב משבנ יגליך עונג שלאיהא אכילתך של שבת כאילת	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	13	231	963	1400	1034	מישל חול אלא ענגהו שבשכו כתי' אז תתענג על יי' ולקרוש י מכובך	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
7	14	231	1015	1400	1086	שלא תהא נוהג בו קלות ראש אלא קדשהו וברכהו ככל רבר וכברתו	https://digi.vatlib.it/iiifimage/MSS_Vat.ebr.44.pt.1/Vat.ebr.44.pt.1_0007_fa_0001r.%5B02.fn.0000%5D.jp2/info.json
